DATE,SALINITY,SALINITY_UNITS
2022-06-24,33.0,ppt
2022-06-25,33.0,ppt
2022-06-26,34.0,ppt
2022-06-27,34.0,ppt
2022-06-28,35.0,ppt
2022-06-29,35.0,ppt
2022-06-30,35.0,ppt
2022-07-01,35.0,ppt
2022-07-02,36.0,ppt
2022-07-03,36.0,ppt
2022-07-04,36.0,ppt
2022-07-05,36.0,ppt
2022-07-06,35.0,ppt
2022-07-07,33.0,ppt
2022-07-08,34.0,ppt
2022-07-09,34.0,ppt
2022-07-10,34.0,ppt
2022-07-11,34.0,ppt
2022-07-12,34.0,ppt
2022-07-13,35.0,ppt
2022-07-14,34.0,ppt
2022-07-15,34.0,ppt
2022-07-20,35.0,ppt
2022-07-21,35.0,ppt
2022-07-22,34.0,ppt
2022-07-23,34.0,ppt
2022-07-24,35.0,ppt
2022-07-25,36.0,ppt
2022-07-26,36.0,ppt
2022-07-27,36.0,ppt
2022-07-28,36.0,ppt
2022-07-29,37.0,ppt
2022-07-30,39.0,ppt
2022-07-31,39.0,ppt
2022-08-01,39.0,ppt
2022-08-02,40.0,ppt
2022-08-03,40.0,ppt
2022-08-04,40.0,ppt
2022-08-05,41.0,ppt
2022-08-06,40.0,ppt
2022-08-07,40.0,ppt
2022-08-08,41.0,ppt
2022-08-09,40.0,ppt
2022-08-10,39.0,ppt
2022-08-11,39.0,ppt
2022-08-12,39.0,ppt
2022-08-13,39.0,ppt
2022-08-14,39.0,ppt
2022-08-15,41.0,ppt
2022-08-16,41.0,ppt
2022-08-17,41.0,ppt
2022-08-19,41.0,ppt
2022-08-21,42.0,ppt
2022-08-22,41.0,ppt
2022-08-23,41.0,ppt
2022-08-24,41.0,ppt
2022-08-25,41.0,ppt
2022-08-26,40.0,ppt
2022-08-27,40.0,ppt
2022-08-28,40.0,ppt
2022-08-29,39.0,ppt
2022-08-30,39.0,ppt
2022-08-31,39.0,ppt
2022-09-01,39.0,ppt
2022-09-02,40.0,ppt
2022-09-03,40.0,ppt
2022-09-04,40.0,ppt
2022-09-05,40.0,ppt
2022-09-06,40.0,ppt
2022-09-07,40.0,ppt
2022-09-08,40.0,ppt
2022-09-09,40.0,ppt
2022-09-10,39.0,ppt
2022-09-11,39.0,ppt
2022-09-12,39.0,ppt
2022-09-13,39.0,ppt
2022-09-14,39.0,ppt
2022-09-15,39.0,ppt
2022-09-16,40.0,ppt
2022-09-17,41.0,ppt
2022-09-18,41.0,ppt
2022-09-19,40.0,ppt
2022-09-20,39.0,ppt
2022-09-21,38.0,ppt
2022-09-22,38.0,ppt
2022-09-23,38.0,ppt
2022-09-24,37.0,ppt
2022-09-25,37.0,ppt
2022-09-26,36.0,ppt
2022-09-27,31.0,ppt
2022-10-01,34.0,ppt
2022-10-02,34.0,ppt
2022-10-03,34.0,ppt
2022-10-04,34.0,ppt
2022-10-05,34.0,ppt
2022-10-06,34.0,ppt
2022-10-07,34.0,ppt
2022-10-08,34.0,ppt
2022-10-09,34.0,ppt
2022-10-10,34.0,ppt
2022-10-11,34.0,ppt
2022-10-12,34.0,ppt
2022-10-13,34.0,ppt
2022-10-14,34.0,ppt
